"ID#","Estuary/
Location","general characteristics","Reference","state/
Region","Station
Name","Latitude
DD","Longitude
DD","Date","Month","Year","Time","Water Depth
(m)","BW
Sal","BW
Temp (°C)","BW
pH","BW
NH4
(uM)","BW
PO4
(uM)","BW
NO2
(uM)","BW
NO3
(uM)","BW
NO23
(uM)","BW
DSi
(uM)","BW
DO
(uM)","BW
DO
(mg/L)","O2 Flux or SOC
(umol/m2/hr)","DO Flux 
(g O2/m2/d)","NH4 Flux
(umol/m2/hr)","PO4 Flux
(umol/m2/hr)","NO2 Flux
(umol/m2/hr)","NO23 Flux
(umol/m2/hr)","DSi Flux
(umol/m2/hr)","RES
(gO2/m3/day)","POC
(%DW)","PON
(%DW)","PP
(%DW)","Total
CHLa
(mg/m2)","Active
CHLa
(mg/m2)"
1423,"Chesapeake Bay-North","well mixed, low salinity, river dominated estuary","Boynton","Maryland","HTMR",39.2,-76.3666666666667,1980-07-30,"July",1980,"0.29166666666666669",5,"7.4",27.4,"NaN","3.2",0,"NaN","NaN","7.6000000000000005","NaN",184.375,5.9,"-2187.5","-1.68","102","2.27","NaN","85.23","NaN","NaN","4.34","0.32","0.111","NaN","NaN"
1424,"Chesapeake Bay-North","well mixed, low salinity, river dominated estuary","Boynton","Maryland","WNCK",39.3083333333333,-76.195,1980-07-30,"July",1980,"0.49305555555555558",4,"4.9000000000000004",28.1,"NaN","5.9",0,"NaN","NaN","20.3","NaN",190.625,6.1,"-1888.0208333333333","-1.45","176.6","-4.2","NaN","288.37","NaN","NaN","5.1100000000000003","0.27","8.5999999999999993E-2","NaN","NaN"
1425,"Chesapeake Bay-North","well mixed, low salinity, river dominated estuary","Boynton","Maryland","HTMR",39.2,-76.3666666666667,1981-05-07,"May",1981,"0.70833333333333337",4,"8.3000000000000007",14,"NaN","8.4",0,"0.99","NaN","28.1","NaN",187.5,6,"-2851.5625","-2.19","60.4","0","NaN","-63.4","NaN","NaN","4.37","0.38","0.107","NaN","NaN"
1426,"Chesapeake Bay-North","well mixed, low salinity, river dominated estuary","Boynton","Maryland","WNCK",39.3083333333333,-76.195,1981-05-07,"May",1981,"0.38194444444444442",5,"2.2000000000000002",14,"NaN","4.6000000000000005",0,"0.79","NaN","41.5","NaN",245.3125,7.85,"-2526.0416666666665","-1.94","47.5","3.2","NaN","-117.63","NaN","NaN","3.39","0.22","6.7000000000000004E-2","NaN","NaN"
1427,"Patuxent","mesohaline coastal plain tributary","Boynton","Maryland","BUVA",38.5185,-76.6636666666667,1985-05-06,"May",1985,"0.49305555555555558",4,"8.8000000000000007",19.8,"NaN","0.6",0.84,"NaN","NaN","2.4","NaN",248.4375,7.95,"-1957.4652777777776","-1.5033333333333332","56.4","0","NaN","27.696666666666669","NaN","NaN","2.7800000000000002","0.32","0.16600000000000001","127.2","NaN"
1428,"Chesapeake Bay-Mid","large mesohaline coastal plain estuary","Boynton","Maryland","R-64",38.5586166666667,-76.4263833333333,1985-05-06,"May",1985,"0.72222222222222221",16.8,"13",13.8,"NaN","5.2",0.06,"NaN","NaN","9.7000000000000011","NaN",165.625,5.3,"-1132.8125","-0.87","184.85","1.25","NaN","-17.96","NaN","NaN","3.45","0.48","0.08","198","NaN"
1429,"Patuxent","mesohaline coastal plain tributary","Boynton","Maryland","STLC",38.3802833333333,-76.5011166666667,1985-05-06,"May",1985,"0.31944444444444448",6.6,"11.4",17,"NaN","4.3",0.14,"NaN","NaN","6.6000000000000005","NaN",201.5625,6.45,"-3537.3263888888891","-2.7166666666666668","123.33333333333331","3.0733333333333337","NaN","0","NaN","NaN","2.67","0.34","8.8999999999999996E-2","123.60000000000001","NaN"
1430,"Choptank","coastal plain tributary","Boynton","Maryland","HNPT",38.6201666666667,-76.1335,1985-05-07,"May",1985,"0.375",7.5,"11.8",17.5,"NaN","2.5",0.07,"NaN","NaN","6","NaN",253.125,8.1,"-3259.5486111111113","-2.5033333333333334","186.43333333333331","8.49","NaN","-23.47666666666667","NaN","NaN","2.31","0.33","7.9000000000000001E-2","124","NaN"
1431,"Chesapeake Bay-Mid","large mesohaline coastal plain estuary","Boynton","Maryland","R-78",38.9635,-76.3936666666667,1985-05-07,"May",1985,"0.70486111111111116",17,"12.6",13.8,"NaN","4.7",0.11,"NaN","NaN","14.200000000000001","NaN",163.4375,5.23,"-1371.5277777777781","-1.0533333333333335","185.66666666666666","0","NaN","-43.27","NaN","NaN","10.39","0.52","0.14399999999999999","174.4","NaN"
1432,"Choptank","coastal plain tributary","Boynton","Maryland","WDHL",38.6908333333333,-75.9716666666667,1985-05-07,"May",1985,"0.2951388888888889",4.2,"5.9",18.9,"NaN","1.1000000000000001",0.56,"NaN","NaN","24.5","NaN",223.4375,7.15,"-5590.2777777777774","-4.293333333333333","63.933333333333337","11.366666666666667","NaN","30.376666666666665","NaN","NaN","7.45","0.55000000000000004","0.11799999999999999","152.80000000000001","NaN"
1433,"Chesapeake Bay-Mid","large mesohaline coastal plain estuary","Boynton","Maryland","PNPT",38.1331666666667,-76.2521666666667,1985-05-08,"May",1985,"0.6875",14.5,"14.3",15.8,"NaN","6.3",0.05,"NaN","NaN","7.8","NaN",184.375,5.9,"-1623.2638888888889","-1.2466666666666668","149.46666666666667","3.2800000000000002","NaN","-41.32","NaN","NaN","4.24","0.56000000000000005","0.111","152.80000000000001","NaN"
1434,"Chesapeake Bay-North","well mixed, low salinity, river dominated estuary","Boynton","Maryland","SLPD",39.3478333333333,-76.1811666666667,1985-05-08,"May",1985,"0.2951388888888889",9.5,"0.70000000000000007",17.8,"NaN","4.8",0.16,"NaN","NaN","57.300000000000004","NaN",259.0625,8.29,"-3133.6805555555552","-2.4066666666666667","270.8","10.993333333333332","NaN","-100.175","NaN","NaN","4.92","0.22","7.6999999999999999E-2","45.6","NaN"
1435,"Potomac","major coastal plain tributary; very eutrophic","Boynton","Maryland","MDPT",38.3561666666667,-77.1915,1985-05-09,"May",1985,"0.43402777777777773",10.8,"4.5",19.4,"NaN","7",0.72,"NaN","NaN","42.9","NaN",213.125,6.82,"-221.35416666666666","-0.17","58.533333333333331","8.2900000000000009","NaN","-29.716666666666669","NaN","NaN","2.86","0.33","0.12","104","NaN"
1436,"Potomac","major coastal plain tributary; very eutrophic","Boynton","Maryland","RGPT",38.1621666666667,-76.5893333333333,1985-05-09,"May",1985,"0.27777777777777779",17,"15.4",15.6,"NaN","8",0.08,"NaN","NaN","5.5","NaN",103.4375,3.31,"-2278.6458333333335","-1.75","366.5","21.22","NaN","-63.81666666666667","NaN","NaN","4.97","0.66","0.09","207.20000000000002","NaN"
1437,"Potomac","major coastal plain tributary; very eutrophic","Boynton","Maryland","MDPT",38.3561666666667,-77.1915,1985-06-24,"June",1985,"0.55555555555555558",9.6,"6.1000000000000005",24.7,"NaN","4.6000000000000005",1.25,"NaN","NaN","30.900000000000002","NaN",143.75,4.6,"-477.4305555555556","-0.3666666666666667","56.633333333333333","7.7233333333333336","NaN","0","NaN","NaN","2.71","0.32","0.126","82","NaN"
1438,"Chesapeake Bay-Mid","large mesohaline coastal plain estuary","Boynton","Maryland","PNPT",38.1331666666667,-76.2521666666667,1985-06-24,"June",1985,"0.77083333333333337",14.4,"17.600000000000001",22.6,"NaN","12.6",0.27,"NaN","NaN","0.47000000000000003","NaN",53.125,1.7,"-3736.9791666666665","-2.87","330.86666666666667","29.89","NaN","0","NaN","NaN","3.27","0.45","8.6999999999999994E-2","89.3","NaN"
1439,"Potomac","major coastal plain tributary; very eutrophic","Boynton","Maryland","RGPT",38.1621666666667,-76.5893333333333,1985-06-24,"June",1985,"0.3888888888888889",16.5,"17.900000000000002",22.3,"NaN","18.8",1.51,"NaN","NaN","0.36","NaN",0,0,"-1979.1666666666667","-1.52","348.8","32.29666666666666","NaN","6.6766666666666667","NaN","NaN","3.37","0.43","6.3E-2","91.8","NaN"
1440,"Patuxent","mesohaline coastal plain tributary","Boynton","Maryland","BUVA",38.5185,-76.6636666666667,1985-06-25,"June",1985,"0.3125",4.6,"11.3",25.7,"NaN","0.8",1.38,"NaN","NaN","0.62","NaN",134.375,4.3,"-2200.5208333333335","-1.69","278.53333333333336","22.25","NaN","0","NaN","NaN","2.4900000000000002","0.31","0.152","63.2","NaN"
1441,"Chesapeake Bay-Mid","large mesohaline coastal plain estuary","Boynton","Maryland","R-64",38.5586166666667,-76.4263833333333,1985-06-25,"June",1985,"0.65277777777777779",17.5,"17.7",21.6,"NaN","22.1",0.35,"NaN","NaN","0.85","NaN",6.25,0.2,"-1762.1527777777781","-1.3533333333333335","435","87.15","NaN","-13.870000000000001","NaN","NaN","3.6","0.47000000000000003","7.8E-2","128.5","NaN"
1442,"Patuxent","mesohaline coastal plain tributary","Boynton","Maryland","STLC",38.3802833333333,-76.5011166666667,1985-06-25,"June",1985,"0.45833333333333331",7.5,"14.3",24.5,"NaN","8.5",0.09,"NaN","NaN","1.82","NaN",121.875,3.9,"-4609.375","-3.54","82.100000000000009","11.93","NaN","88.326666666666668","NaN","NaN","2.72","0.4","8.4000000000000005E-2","96.7","NaN"
1443,"Choptank","coastal plain tributary","Boynton","Maryland","HNPT",38.6201666666667,-76.1335,1985-06-26,"June",1985,"0.29166666666666669",8.2,"12.6",24.8,"NaN","2.9",0.23,"NaN","NaN","1.55","NaN",178.125,5.7,"-5542.5347222222226","-4.2566666666666668","254.66666666666671","2.2400000000000002","NaN","146.54","NaN","NaN","2.7600000000000002","0.3","6.4000000000000001E-2","118.7","NaN"
1444,"Chesapeake Bay-North","well mixed, low salinity, river dominated estuary","Boynton","Maryland","SLPD",39.3478333333333,-76.1811666666667,1985-06-26,"June",1985,"0.71527777777777779",10.4,"3.5",23.6,"NaN","4.5",0.48,"NaN","NaN","38.6","NaN",178.125,5.7,"-2434.8958333333335","-1.87","62.133333333333333","6.0066666666666668","NaN","0","NaN","NaN","3.68","0.24","7.3999999999999996E-2","79.600000000000009","NaN"
1445,"Chesapeake Bay-Mid","large mesohaline coastal plain estuary","Boynton","Maryland","R-78",38.9635,-76.3936666666667,1985-06-27,"June",1985,"0.44791666666666669",16.8,"16.3",21.5,"NaN","22.900000000000002",0.38,"NaN","NaN","0.9","NaN",21.875,0.7,"-1048.1770833333333","-0.80500000000000005","167.8","10.493333333333332","NaN","12.16","NaN","NaN","3.83","0.48","8.6999999999999994E-2","104","NaN"
1446,"Potomac","major coastal plain tributary; very eutrophic","Boynton","Maryland","MDPT",38.3561666666667,-77.1915,1985-08-19,"August",1985,"0.54166666666666663",8.8,"7.2",26.7,"NaN","6.8",2.24,"3.36","NaN","6.48","NaN",140.9375,4.51,"-3094.6180555555552","-2.3766666666666665","292.06666666666666","33.28","NaN","21.97666666666667","NaN","NaN","3.2600000000000002","0.46","5.2999999999999999E-2","96.8","NaN"
